YEAR(S),MEAN (F),MAX (F),MIN (F)
1909,,,
1910,,,
1911,,,
1912,64.464,74.965,53.539
1913,,,
1914,,,
1915,,,
1916,,,
1917,,,
1918,,,
1919,,,
1920,,,
1921,,,
1922,59.85416667,70.13333333,49.72
1923,59.3825,69.38666667,49.3675
1924,60.84363636,71.44727273,50.23909091
1925,61.5925,72.19583333,50.98666667
1926,63.46416667,73.55916667,53.36833333
1927,59.4925,69.08416667,49.9
1928,61.03083333,70.68916667,51.35666667
1929,61.69333333,72.515,50.87416667
1930,62.40416667,72.24666667,52.56
1931,61.95916667,71.92666667,51.99083333
1932,58.47833333,68.76333333,48.17
1933,59.55083333,69.84,49.26416667
1934,62.33666667,72.16666667,52.51
1935,58.995,68.84916667,49.14
1936,61.17083333,71.93,50.4
1937,59.50083333,69.97833333,49.03666667
1938,58.78916667,68.72083333,48.9
1939,60.24333333,70.975,49.46833333
1940,60.97083333,70.84166667,51.0575
1941,58.39333333,67.375,49.30916667
1942,60.29333333,70.62166667,50
1943,60.40416667,70.65083333,50.1575
1944,57.6025,67.20416667,47.92333333
1945,59.36333333,69.05416667,49.68666667
1946,59.16166667,69.06,49.27583333
1947,60.275,70.38833333,50.135
1948,58.25833333,68.39583333,48.09166667
1949,59.86583333,69.49916667,50.18083333
1950,61.675,72.17666667,51.37333333
1951,59.89833333,70.08333333,49.73833333
1952,59.24833333,69.08166667,49.39
1953,59.71083333,70.16083333,49.20916667
1954,60.72083333,71.24333333,50.20083333
1955,58.70333333,68.9825,48.40083333
1956,59.35166667,70.18083333,48.52333333
1957,58.79583333,68.87583333,48.715
1958,60.8225,71.52333333,50.12416667
1959,61.6475,72.29333333,51.01833333
1960,60.8775,71.48833333,50.27833333
1961,60.47666667,70.95833333,50.03166667
1962,60.16166667,70.775,49.54666667
1963,59.28583333,69.27166667,49.28833333
1964,58.9025,68.92666667,48.87583333
1965,58.7,68.84166667,48.54583333
1966,60.00416667,70.76333333,49.24083333
1967,59.745,69.76833333,49.75083333
1968,60.24333333,70.47833333,49.975
1969,59.96,70.12583333,49.79916667
1970,60.42083333,70.81833333,49.98833333
1971,58.52166667,68.77916667,48.26333333
1972,59.68583333,70.3375,49.05666667
1973,59.32,69.33666667,49.30666667
1974,59.9125,70.37166667,49.4725
1975,58.92166667,69.28083333,48.56083333
1976,60.04083333,70.63166667,49.41666667
1977,61.07916667,71.57083333,50.66833333
1978,60.00416667,69.90833333,50.19
1979,61.399,71.652,51.175
1980,59.63909091,69.76818182,49.50272727
1981,63.29,74.93818182,51.54090909
1982,58.35636364,69.15727273,47.37727273
1983,58.83,69.16833333,48.43583333
1984,60.655,72.195,49.06666667
1985,59.6,71.29083333,47.83833333
1986,61.73909091,73.33909091,49.98363636
1987,59.70916667,71.71583333,47.70333333
1988,59.66333333,71.24,48.13
1989,60.335,70.545,50.02666667
1990,60.59833333,70.25333333,50.94666667
1991,60.20083333,69.4675,50.96083333
1992,60.65666667,70.2,51.25583333
1993,59.735,69.87583333,49.575
1994,60.87333333,71.8225,49.97833333
1995,61.66833333,72.79,50.50916667
1996,62.56083333,73.68583333,51.38
1997,61.65083333,73.07416667,50.0425
1998,58.15166667,69.03833333,47.25333333
1999,61.16,72.74333333,49.77083333
2000,62.56166667,73.15416667,51.90583333
2001,61.95909091,72.27454545,51.60909091
2002,62.85416667,74.09916667,51.56416667
2003,63.335,73.77,52.60666667
2004,62.23833333,72.92083333,51.41916667
2005,61.35083333,71.63666667,50.76333333
2006,60.6175,72.82583333,48.3275
2007,63.96818182,76.37818182,51.58
2008,63.29,75.47,51.04454545
2009,,,
2010,,,
2011,,,
2012,63.70166667,75.77083333,51.63916667
2013,,,
2014,65.79666667,76.095,55.50083333
2015,64.56333333,74.22083333,54.83333333
2016,64.47416667,74.19416667,54.77916667
2017,65.11166667,74.45416667,55.77666667
2018,64.79333333,74.46,55.09333333
2019,60.555,70.48166667,50.555
2020,,,