year,annualgrowingseason
1909,
1910,
1911,
1912,
1913,
1914,
1915,
1916,
1917,
1918,
1919,
1920,
1921,
1922,
1923,
1924,
1925,
1926,
1927,
1928,
1929,
1930,
1931,
1932,
1933,
1934,
1935,
1936,
1937,
1938,
1939,
1940,
1941,
1942,
1943,
1944,
1945,
1946,0.2
1947,0
1948,1.7
1949,23.2
1950,6.2
1951,3.6
1952,24.2
1953,2.3
1954,14
1955,11.2
1956,0
1957,25.5
1958,4
1959,0
1960,0
1961,0
1962,27.3
1963,2.3
1964,0.5
1965,0
1966,7.3
1967,3
1968,0
1969,6.5
1970,0
1971,0
1972,20
1973,23
1974,0.5
1975,0.3
1976,2.6
1977,24
1978,0
1979,49
1980,2.5
1981,0
1982,0
1983,14.5
1984,0
1985,0
1986,28.1
1987,0
1988,0
1989,16
1990,0.5
1991,3
1992,0
1993,0
1994,0
1995,0.5
1996,0
1997,7
1998,0
1999,0
2000,1
2001,12
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,
2012,
2013,
2014,
2015,
2016,
2017,
2018,
2019,
2020,
2021,