year,mean,max,min
1903,,,
1904,,,
1905,,,
1906,,,
1907,,,
1908,,,
1909,,,
1910,,,
1911,,,
1912,,,
1913,,,
1914,,,
1915,,,
1916,,,
1917,,,
1918,,,
1919,,,
1920,,,
1921,,,
1922,,,
1923,,,
1924,,,
1925,,,
1926,,,
1927,,,
1928,,,
1929,,,
1930,,,
1931,,,
1932,,,
1933,60.9325,76.40666667,45.5125
1934,63.93333333,78.585,49.265
1935,60.595,74.9175,46.1725
1936,62.7825,77.47083333,48.06583333
1937,61.07666667,75.7775,46.4025
1938,60.73333333,74.88083333,46.605
1939,62.01583333,77.14416667,46.83416667
1940,62.77083333,77.22583333,48.27666667
1941,59.49833333,73.11083333,45.8725
1942,61.07,76.54916667,45.57416667
1943,61.09583333,76.05583333,46.13666667
1944,58.74833333,73.37083333,44.13
1945,60.44416667,75.11583333,45.79333333
1946,60.37583333,75.6525,45.095
1947,61.19916667,76.8575,45.60833333
1948,59.41166667,74.8875,44.01416667
1949,60.4675,75.12,45.81333333
1950,64.0325,80.41416667,47.61166667
1951,63.445,79.785,47.17
1952,61.58583333,76.69333333,46.46583333
1953,61.12666667,77.28833333,44.96583333
1954,62.68416667,79.44333333,45.915
1955,61.10916667,76.4775,45.74083333
1956,62.39416667,79.67416667,45.13
1957,61.47083333,76.85166667,46.035
1958,63.49333333,78.99833333,47.98833333
1959,64.77,80.27083333,49.255
1960,63.78083333,79.055,48.48083333
1961,61.57545455,76.3,46.85
1962,62.70916667,77.4075,48.01
1963,61.0775,75.285,46.8525
1964,60.76416667,74.93916667,46.58916667
1965,60.95666667,75.0125,46.915
1966,61.47583333,76.45666667,46.48916667
1967,61.1575,75.89916667,46.42083333
1968,61.4125,75.985,46.84083333
1969,61.32833333,75.64166667,47.01583333
1970,62.18833333,76.81333333,47.54083333
1971,60.0725,75.69416667,44.34166667
1972,61.525,76.74333333,46.305
1973,60.96833333,76.07166667,45.8675
1974,61.5825,76.94166667,46.21416667
1975,60.72666667,76.40166667,44.9625
1976,61.43916667,76.95583333,45.89916667
1977,62.46583333,77.89166667,46.96833333
1978,60.89333333,75.89833333,45.9025
1979,60.01416667,76.50666667,43.4975
1980,61.27833333,77.305,45.25166667
1981,62.675,78.81416667,46.53666667
1982,60.03666667,74.46583333,45.57166667
1983,60.27833333,75.35,45.23083333
1984,61.735,77.26083333,46.19166667
1985,61.49583333,76.92416667,46.02416667
1986,62.56083333,77.63083333,47.48833333
1987,62.0825,76.85333333,47.24083333
1988,63.16416667,78.43416667,47.82
1989,63.38583333,78.52083333,48.21083333
1990,63.04083333,77.93916667,47.99333333
1991,62.79416667,77.11416667,48.54833333
1992,63.04916667,77.455,48.73083333
1993,62.67166667,77.41916667,47.9525
1994,63.8675,79.215,48.62583333
1995,64.48666667,79.6775,49.36
1996,65.82,81.06333333,50.57333333
1997,64.61583333,80.16916667,49.19
1998,61.46083333,76.125,46.595
1999,63.97833333,80.33916667,47.62166667
2000,64.57416667,79.83083333,49.37916667
2001,64.225,78.50083333,49.96916667
2002,64.025,79.115,48.95083333
2003,64.0675,78.41833333,49.75916667
2004,63.415,77.49416667,49.31166667
2005,62.78416667,76.63916667,48.99
2006,63.05416667,77.7025,48.41916667
2007,63.86333333,79.29083333,48.59666667
2008,66.92333333,80.01083333,54.29333333
2009,63.63583333,78.38666667,48.7975
2010,62.5475,76.51416667,48.6
2011,62.2475,76.72916667,47.83
2012,65.245,80.1225,50.36666667
2013,64.05416667,79.065,49.04333333
2014,66.12916667,80.63083333,51.62833333
2015,64.48833333,78.78083333,50.19333333
2016,64.93583333,79.32333333,50.55
2017,65.42166667,79.59166667,51.2525
2018,65.48363636,79.54,51.39
2019,61.70166667,75.9975,47.3225
2020,,,