year,total,annualgrowingseason,x5yr_cv
1903,5.59,5.59,
1904,,,
1905,,,
1906,,,
1907,,,
1908,,,
1909,,,
1910,,,
1911,,,
1912,,,
1913,,,
1914,,,
1915,,,
1916,,,
1917,,,
1918,,,
1919,,,
1920,5.36,4.53,0.551981067
1921,,,
1922,8.93,10.33,0.485391103
1923,,,
1924,3.99,5.02,0.551777881
1925,4.64,3.71,0.212213032
1926,,,
1927,,,
1928,5.62,4.64,0.390508269
1929,2,,0.390508269
1930,9.12,8.18,0.390508269
1931,,,
1932,,,
1933,6.9,6.04,0.513192978
1934,8.15,4.7,0.494874232
1935,7.38,12.01,0.490617131
1936,10.13,4.99,0.448608771
1937,8.77,12.87,0.306930956
1938,16.18,12.89,0.357126145
1939,7.29,11.43,0.219337515
1940,,,
1941,18.42,18.33,0.420291749
1942,4.21,7.95,0.391049623
1943,,,
1944,12.85,16.93,0.437121803
1945,8.67,8.66,0.445604249
1946,9.93,7.46,0.493716953
1947,3.4,7.65,0.268805182
1948,5.13,5.14,0.244715533
1949,4.4,4.44,0.323566069
1950,3.62,5.25,0.859454694
1951,8.56,3.1,0.908762334
1952,16.61,18.26,0.760563545
1953,,,
1954,10.35,8.62,0.603922579
1955,5.11,6.22,0.207929515
1956,4.99,5.67,0.453098714
1957,9.87,5.86,0.552751256
1958,11.04,14.42,0.609683964
1959,4.54,4.36,0.710173107
1960,4.89,4.42,0.661938111
1961,3.69,3.11,0.482501853
1962,7.54,9.63,0.451200419
1963,7.34,4.68,0.459958044
1964,4.48,5.66,0.391908798
1965,10.35,4.19,0.346337139
1966,5.15,9.49,0.294051607
1967,8.26,7.47,0.299677999
1968,4.16,7.55,0.407353999
1969,10.08,10.18,0.423780267
1970,6.63,2.45,0.474791664
1971,5.23,5.84,0.478334417
1972,2.29,4.71,0.380163992
1973,6.89,8.08,0.208480812
1974,7.7,5.81,0.235683276
1975,3.12,5.55,0.205990637
1976,5.11,4.8,0.539155362
1977,9.75,6.93,0.483446441
1978,13.23,14.73,0.422341423
1979,9.04,10.37,0.423908471
1980,13.6,13.76,0.365590313
1981,6.18,4.76,0.37476122
1982,11.29,10,0.526664825
1983,15.44,15.25,0.571407542
1984,6.91,4.19,0.545888119
1985,1.35,6.14,0.684528439
1986,5.17,5.51,0.340742072
1987,7.27,3.62,0.338073492
1988,5.81,8.48,0.482927052
1989,2.63,4.25,0.493374502
1990,2.45,2.33,0.576667409
1991,9.12,7.04,0.706219306
1992,13.89,12.75,0.731713119
1993,14.44,17.17,0.524874721
1994,3.84,3.59,0.621485306
1995,9.05,9.26,0.741455155
1996,5.73,3.96,0.674237427
1997,5.77,4.73,0.709283072
1998,12.28,15.24,0.836628008
1999,2.26,2.84,0.767752974
2000,4.07,3.91,0.888142095
2001,7.14,5.85,0.576815247
2002,2.67,2.22,0.485286756
2003,8.61,9.03,0.846970926
2004,11.83,5.08,0.821433734
2005,14.54,20.96,0.829968162
2006,5.75,6.74,0.967194833
2007,1.94,2.03,0.934934928
2008,6.44,4.21,0.457462833
2009,4.27,6.03,0.538555795
2010,14.57,8.69,0.428441584
2011,,,
2012,2.88,3.29,0.684366895
2013,2.89,1.47,0.574623488
2014,5.96,4.47,0.486971632
2015,5.7,7.05,0.468281612
2016,6.13,5.42,0.236498685
2017,4.98,7.62,0.170497905
2018,,,
2019,,,
2020,,,